model,target,comparator,metric,n_pairs,n_task_clusters,mean_paired_difference,exploratory_cluster_bootstrap_low,exploratory_cluster_bootstrap_high
pooled,domain_dynamic,history_rag,reference_coverage,16,8,0.005208,-0.140625,0.177083
pooled,domain_dynamic,history_rag,concise_proxy,16,8,-0.25,-0.5,0.0
pooled,domain_dynamic,history_rag,word_count,16,8,70.8125,28.625,117.3125
pooled,domain_dynamic,history_rag,provider_input_tokens,16,8,-19.0,-19.75,-18.25
pooled,domain_dynamic,history_rag,provider_output_tokens,16,8,99.0625,42.0,161.8125
pooled,domain_dynamic,history_rag,latency_ms,16,8,3115.897625,1324.797312,5026.276687
pooled,domain_dynamic,history_rag,automatic_pass_rate,16,8,0.125,0.03125,0.25
pooled,domain_dynamic,history_rag,length_termination,16,8,0.3125,-0.0625,0.75
pooled,domain_dynamic,no_personalization,reference_coverage,16,8,-0.020833,-0.15625,0.125
pooled,domain_dynamic,no_personalization,concise_proxy,16,8,0.0,-0.25,0.3125
pooled,domain_dynamic,no_personalization,word_count,16,8,-16.6875,-42.75,6.3125
pooled,domain_dynamic,no_personalization,provider_input_tokens,16,8,32.0,31.25,32.75
pooled,domain_dynamic,no_personalization,provider_output_tokens,16,8,-15.5,-43.1875,6.1875
pooled,domain_dynamic,no_personalization,latency_ms,16,8,-1467.783813,-2733.639125,-467.483
pooled,domain_dynamic,no_personalization,automatic_pass_rate,16,8,0.03125,-0.09375,0.1875
pooled,domain_dynamic,no_personalization,length_termination,16,8,-0.1875,-0.4375,0.0
llama3.2:1b,domain_dynamic,history_rag,reference_coverage,8,4,0.166667,0.0,0.375
llama3.2:1b,domain_dynamic,history_rag,concise_proxy,8,4,-0.5,-0.875,-0.125
llama3.2:1b,domain_dynamic,history_rag,word_count,8,4,85.5,0.0,171.0
llama3.2:1b,domain_dynamic,history_rag,provider_input_tokens,8,4,-19.0,-20.0,-18.0
llama3.2:1b,domain_dynamic,history_rag,provider_output_tokens,8,4,110.625,1.75,219.5
llama3.2:1b,domain_dynamic,history_rag,latency_ms,8,4,1640.114,-10.6625,3290.8905
llama3.2:1b,domain_dynamic,history_rag,automatic_pass_rate,8,4,0.25,0.0625,0.4375
llama3.2:1b,domain_dynamic,history_rag,length_termination,8,4,0.375,-0.25,1.0
llama3.2:1b,domain_dynamic,no_personalization,reference_coverage,8,4,0.072917,-0.145833,0.291667
llama3.2:1b,domain_dynamic,no_personalization,concise_proxy,8,4,-0.25,-0.5,0.0
llama3.2:1b,domain_dynamic,no_personalization,word_count,8,4,7.5,-2.75,22.5
llama3.2:1b,domain_dynamic,no_personalization,provider_input_tokens,8,4,32.0,31.0,33.0
llama3.2:1b,domain_dynamic,no_personalization,provider_output_tokens,8,4,4.75,-8.625,22.875
llama3.2:1b,domain_dynamic,no_personalization,latency_ms,8,4,-297.115,-485.696,-92.933375
llama3.2:1b,domain_dynamic,no_personalization,automatic_pass_rate,8,4,0.0625,-0.1875,0.375
llama3.2:1b,domain_dynamic,no_personalization,length_termination,8,4,-0.125,-0.375,0.0
qwen3:8b,domain_dynamic,history_rag,reference_coverage,8,4,-0.15625,-0.28125,-0.041667
qwen3:8b,domain_dynamic,history_rag,concise_proxy,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,history_rag,word_count,8,4,56.125,31.5,85.125
qwen3:8b,domain_dynamic,history_rag,provider_input_tokens,8,4,-19.0,-20.0,-18.0
qwen3:8b,domain_dynamic,history_rag,provider_output_tokens,8,4,87.5,44.0,136.25
qwen3:8b,domain_dynamic,history_rag,latency_ms,8,4,4591.68125,2297.33625,7148.114375
qwen3:8b,domain_dynamic,history_rag,automatic_pass_rate,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,history_rag,length_termination,8,4,0.25,0.0,0.75
qwen3:8b,domain_dynamic,no_personalization,reference_coverage,8,4,-0.114583,-0.25,0.0
qwen3:8b,domain_dynamic,no_personalization,concise_proxy,8,4,0.25,0.0,0.75
qwen3:8b,domain_dynamic,no_personalization,word_count,8,4,-40.875,-76.25,-5.5
qwen3:8b,domain_dynamic,no_personalization,provider_input_tokens,8,4,32.0,31.0,33.0
qwen3:8b,domain_dynamic,no_personalization,provider_output_tokens,8,4,-35.75,-71.625,0.0
qwen3:8b,domain_dynamic,no_personalization,latency_ms,8,4,-2638.452625,-4560.685375,-850.15475
qwen3:8b,domain_dynamic,no_personalization,automatic_pass_rate,8,4,0.0,0.0,0.0
qwen3:8b,domain_dynamic,no_personalization,length_termination,8,4,-0.25,-0.75,0.0
