model,target,comparator,metric,n_pairs,n_task_clusters,mean_paired_difference,exploratory_cluster_bootstrap_low,exploratory_cluster_bootstrap_high
pooled,domain_dynamic,dynamic_global,reference_coverage,16,8,0.010417,-0.078125,0.104167
pooled,domain_dynamic,dynamic_global,concise_proxy,16,8,0.125,-0.125,0.4375
pooled,domain_dynamic,dynamic_global,word_count,16,8,-5.0,-12.4375,2.0
pooled,domain_dynamic,dynamic_global,provider_input_tokens,16,8,58.0,55.375,60.5
pooled,domain_dynamic,dynamic_global,provider_output_tokens,16,8,2.125,-2.1875,6.75
pooled,domain_dynamic,dynamic_global,latency_ms,16,8,-248.601563,-893.876125,290.0695
pooled,domain_dynamic,dynamic_global,automatic_pass_rate,16,8,0.03125,0.0,0.09375
pooled,domain_dynamic,dynamic_global,length_termination,16,8,0.125,0.0,0.3125
pooled,domain_dynamic,history_rag,reference_coverage,16,8,-0.046875,-0.177083,0.104167
pooled,domain_dynamic,history_rag,concise_proxy,16,8,-0.0625,-0.4375,0.3125
pooled,domain_dynamic,history_rag,word_count,16,8,52.125,11.5625,99.125
pooled,domain_dynamic,history_rag,provider_input_tokens,16,8,65.0,62.125,68.0
pooled,domain_dynamic,history_rag,provider_output_tokens,16,8,78.75,22.8125,141.9375
pooled,domain_dynamic,history_rag,latency_ms,16,8,3564.967938,1161.122125,6258.36975
pooled,domain_dynamic,history_rag,automatic_pass_rate,16,8,0.0,-0.125,0.15625
pooled,domain_dynamic,history_rag,length_termination,16,8,0.375,0.125,0.75
pooled,domain_dynamic,no_personalization,reference_coverage,16,8,0.072917,-0.052083,0.1875
pooled,domain_dynamic,no_personalization,concise_proxy,16,8,0.1875,0.0,0.4375
pooled,domain_dynamic,no_personalization,word_count,16,8,-34.8125,-75.1875,-7.0
pooled,domain_dynamic,no_personalization,provider_input_tokens,16,8,116.0,113.0,119.0
pooled,domain_dynamic,no_personalization,provider_output_tokens,16,8,-36.1875,-84.9375,-3.625
pooled,domain_dynamic,no_personalization,latency_ms,16,8,-1129.457375,-2289.504,-126.46675
pooled,domain_dynamic,no_personalization,automatic_pass_rate,16,8,-0.03125,-0.1875,0.09375
pooled,domain_dynamic,no_personalization,length_termination,16,8,0.0,0.0,0.0
pooled,domain_dynamic,static_global,reference_coverage,16,8,-0.026042,-0.119792,0.067708
pooled,domain_dynamic,static_global,concise_proxy,16,8,-0.0625,-0.25,0.125
pooled,domain_dynamic,static_global,word_count,16,8,17.0625,2.75,34.125
pooled,domain_dynamic,static_global,provider_input_tokens,16,8,77.0,74.0,80.0
pooled,domain_dynamic,static_global,provider_output_tokens,16,8,30.125,4.1875,62.9375
pooled,domain_dynamic,static_global,latency_ms,16,8,1996.485312,407.430125,4036.953062
pooled,domain_dynamic,static_global,automatic_pass_rate,16,8,-0.03125,-0.09375,0.0
pooled,domain_dynamic,static_global,length_termination,16,8,0.25,0.0,0.625
llama3.2:1b,domain_dynamic,dynamic_global,reference_coverage,8,4,0.083333,0.0,0.166667
llama3.2:1b,domain_dynamic,dynamic_global,concise_proxy,8,4,0.125,-0.375,0.75
llama3.2:1b,domain_dynamic,dynamic_global,word_count,8,4,-4.875,-17.75,6.125
llama3.2:1b,domain_dynamic,dynamic_global,provider_input_tokens,8,4,56.5,53.0,60.0
llama3.2:1b,domain_dynamic,dynamic_global,provider_output_tokens,8,4,0.25,0.0,0.75
llama3.2:1b,domain_dynamic,dynamic_global,latency_ms,8,4,-376.996125,-1056.779125,23.537
llama3.2:1b,domain_dynamic,dynamic_global,automatic_pass_rate,8,4,0.0625,0.0,0.1875
llama3.2:1b,domain_dynamic,dynamic_global,length_termination,8,4,0.0,0.0,0.0
